ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
FN1,-4.503911972045909,32.41782360076905,-61.617436903251516,4.481718179101607e-22,2.7777689274071757e-18,38.733670983216044
DPYSL3,2.645326614379897,32.08130159378052,34.19582530881375,1.3559852419655331e-17,4.202198264851187e-14,30.30305375996036
NES,-6.05350761413575,29.621954345703134,-31.235350598113328,6.551993816286412e-17,1.3536419224447728e-13,28.85048693731215
MFI2,-7.309978866577154,27.04700956344604,-30.200354714150112,1.1760744661168983e-16,1.822327385248134e-13,28.303089340863938
ANXA1,3.4504741668701655,33.92288331985473,28.47903634678733,3.2520122854482927e-16,3.2904190299418573e-13,27.342036690019928
EEF2,1.7569084167480398,36.38801155090333,28.302979921069653,3.6204975993766814e-16,3.2904190299418573e-13,27.239957115322323
IRS2,4.414420700073233,28.03852195739746,28.22429858327996,3.799193727987433e-16,3.2904190299418573e-13,27.194100426710346
MVP,1.5369613647461016,32.72503910064697,28.043100595769317,4.247071997343475e-16,3.2904190299418573e-13,27.087935145775152
CNDP2,2.7216781616210994,31.97090873718262,27.231108135282252,7.058601376654864e-16,4.86102348138965e-13,26.60236596960433
COL4A2,-2.6751174926757955,28.67942428588868,-26.530192201766326,1.107348049156884e-15,6.863343208674367e-13,26.1698341655008
SLC9A3R1,2.156460571289063,30.81013755798339,26.30134337789832,1.285893026678667e-15,7.24542270850398e-13,26.025823397990177
APOL2,1.9865303039550817,30.5879093170166,24.699829346552093,3.79457030104581e-15,1.9598955604901608e-12,24.97734228981719
CYR61,-2.381645584106426,29.869319725036625,-24.21224775684784,5.345497786987154e-15,2.548568867980491e-12,24.64322570792186
CBR3,1.9154834747314418,28.70164794921875,24.095152804285178,5.809662650640104e-15,2.5720206506190976e-12,24.56189555633713
SORD,1.8263324737548956,29.53137979507446,23.350210784420614,9.957962448273434e-15,4.114630083626583e-12,24.03426780877788
IGF2BP1,-2.803289031982434,29.27728700637818,-23.22264180448323,1.0938281215627901e-14,4.237216685903858e-12,23.942099326534077
LAMB1,-1.5000003814697003,31.919007301330574,-23.081115657812973,1.2146084539898949e-14,4.428319528134922e-12,23.8392105895894
PLEKHA2,1.75024223327636,27.20487127304077,22.806530768290862,1.4908747683419508e-14,5.1335787856574505e-12,23.637654183965928
ADAM9,5.131789016723641,28.348323059082034,22.55310108272112,1.805032368700994e-14,5.888205590109874e-12,23.44932245450636
LPXN,4.683156967163079,27.52529373168945,21.86402817649224,3.0674271501341286e-14,9.505956738265664e-12,22.925716962060736
FADS2,6.085556793212898,28.00195751190186,21.726798106223345,3.415423522196468e-14,1.0080378566939864e-11,22.819369895388498
HKDC1,-2.2777641296386832,29.74159469604492,-21.638093467764893,3.662337099459573e-14,1.0134882958462597e-11,22.750253220432928
APBB1IP,1.7360038757323757,29.816341304779044,21.604423297330445,3.7609278484130325e-14,1.0134882958462597e-11,22.72394063395158
CENPV,-4.726586532592776,25.629270553588874,-21.378181748922483,4.500395565901881e-14,1.1622271548941608e-11,22.546020467471838
HSPG2,-2.727825927734365,30.329909038543693,-21.09234982352512,5.660345590191074e-14,1.403312878720171e-11,22.318417273342927
GNB1L,4.008821868896476,26.304047298431406,20.71609862040589,7.68892424128425e-14,1.8329212479799917e-11,22.01390007047205
SMARCA1,3.711014556884763,27.09639797210692,20.41586088027218,9.854332786056613e-14,2.2621168373325514e-11,21.766791873199118
