ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
FN1,-2.9471282958984375,32.41782360076905,-40.31928087080697,7.646517754283851e-19,4.739311704105131e-15,32.9425959115871
DPYSL3,2.897278213500975,32.08130159378052,37.45277393019989,2.7743689168694655e-18,8.597769273378474e-15,31.798388729816004
MVP,1.850314331054701,32.72503910064697,33.760478376196744,1.6949915917661507e-17,3.5018526285888675e-14,30.149679202015093
ANXA1,3.6710369110107735,33.92288331985473,30.299485972939795,1.1110666345742702e-16,1.7215977502728317e-13,28.391740998751963
NES,-5.685856628417973,29.621954345703134,-29.33831698245871,1.9432605324855013e-16,2.408865756069027e-13,27.86123765465942
CBR3,2.3019447326660014,28.70164794921875,28.95650670564162,2.4384095839679464e-16,2.5188771002388885e-13,27.644905951388004
FABP5,3.351458358764628,31.73863086700439,27.978505754457753,4.4199308389217033e-16,3.221040020474636e-13,27.07555642498572
IRS2,4.358383941650395,28.03852195739746,27.866018684551896,4.73891398735496e-16,3.221040020474636e-13,27.008624083442932
HKDC1,-2.931377029418961,29.74159469604492,-27.847224972274958,4.794534679043872e-16,3.221040020474636e-13,26.99741160893381
EEF2,1.720581054687493,36.38801155090333,27.71776296315435,5.196902259558948e-16,3.221040020474636e-13,26.919940523697584
CNDP2,2.7230972290038977,31.97090873718262,27.245306278875102,6.995311580341776e-16,3.7047202204786095e-13,26.633719683453045
IGF2BP1,-3.278155136108417,29.27728700637818,-27.156465721815653,7.401415448267936e-16,3.7047202204786095e-13,26.57927613004604
SLC9A3R1,2.220309829711937,30.81013755798339,27.080082990651974,7.770468355311701e-16,3.7047202204786095e-13,26.532307247096156
COL4A2,-2.641131591796878,28.67942428588868,-26.193140657325188,1.3806634686802655e-15,6.112394413485918e-13,25.975843589329507
LPXN,5.5625,27.52529373168945,25.96937441655114,1.600818134800731e-15,6.61458053299662e-13,25.832148112772003
CYR61,-2.491369247436534,29.869319725036625,-25.327718731650457,2.4635174284591656e-15,9.543050638493692e-13,25.412416755057293
MCAM,-2.1247924804687557,29.95954418182373,-25.030184457653476,3.0192535761631865e-15,1.10078433323879e-12,25.21381933025752
THBS1,-1.670039749145527,31.043994712829594,-24.87382016940093,3.363002988878267e-15,1.1579940291704165e-12,25.108415945299946
FLNC,1.3958686828613125,35.950345039367676,24.364751976931807,4.7988451583034856e-15,1.5654338047981582e-12,24.760212534405547
FADS2,6.396173858642573,28.00195751190186,22.835770464589107,1.4585308542716455e-14,4.519987117387829e-12,23.66544843294784
APOL2,1.8290752410888267,30.5879093170166,22.742087662569674,1.564860300567962e-14,4.618573401390585e-12,23.595856470609036
GNB1L,4.387404251098577,26.304047298431406,22.67247139578337,1.6491546614821024e-14,4.646118450848215e-12,23.543946235774094
LAMB1,-1.4655994415282976,31.919007301330574,-22.55177441008141,1.806849642004256e-14,4.869066991801034e-12,23.453548111470326
ACAA2,-4.355192184448235,29.34366941452026,-22.39787925011514,2.0313310509029268e-14,5.108427349879258e-12,23.337545315643617
PPID,2.964936828613272,29.979551315307624,22.379201012433974,2.0605144199254833e-14,5.108427349879258e-12,23.32340917815879
ADAM9,4.965408706665041,28.348323059082034,21.821895661239907,3.170106909651385e-14,7.305011835130851e-12,22.895854433597314
CDH6,-2.098051834106432,28.95826616287231,-21.817011873810173,3.182241360899209e-14,7.305011835130851e-12,22.892057558024113
ITGB3,-1.821643066406235,30.070189952850345,-21.765836992073933,3.3123789030810743e-14,7.332187300463035e-12,22.852218701636545
CD70,2.5354869842529233,30.58266258239745,21.699779592022733,3.4887158082495884e-14,7.456227786045154e-12,22.80064995043763
QPRT,-2.1916988372802635,29.246394252777094,-21.647654847262512,3.63483975889261e-14,7.509578941872132e-12,22.759842822854303
